Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
benedicendo	1	8	7	7.0
benserade	2	16	14	7.0
berc	2	28	26	13.0
berce	2	12	10	5.0
bergers	1	10	9	9.0
bernajoux	18	29	11	0.6111111111111112
berrichon	2	8	6	3.0
berry	2	9	7	3.5
besme	1	13	12	12.0
besogne	7	24	17	2.4285714285714284
besoin	74	87	13	0.17567567567567569
besoins	4	12	8	2.0
biais	1	5	4	4.0
bible	2	18	16	8.0
bibliothque	2	25	23	11.5
bicoque	1	7	6	6.0
bidet	7	18	11	1.5714285714285714
bidets	1	9	8	8.0
bien	954	960	6	0.006289308176100629
bienaim	1	8	7	7.0
bienfait	1	16	15	15.0
bienfaiteur	3	6	3	1.0
bienheureux	2	14	12	6.0
biens	2	4	2	1.0
bientre	1	10	9	9.0
bientt	50	51	1	0.02
bienveillance	6	14	8	1.3333333333333333
bienveillante	2	14	12	6.0
bienvenu	3	8	5	1.6666666666666667
bienvenue	1	16	15	15.0
bigame	1	8	7	7.0
bijou	3	10	7	2.3333333333333335
bijoux	4	16	12	3.0
bile	1	16	15	15.0
billait	1	15	14	14.0
billet	35	45	10	0.2857142857142857
billets	5	12	7	1.4
billon	2	7	5	2.5
billonna	1	22	21	21.0
billonnent	1	4	3	3.0
billonner	1	30	29	29.0
binary	1	16	15	15.0
bire	2	7	5	2.5
biscarat	15	27	12	0.8
biscuits	1	24	23	23.0
bizarre	1	2	1	1.0
bizarrerie	1	10	9	9.0
bizarres	1	11	10	10.0
bl	1	11	10	10.0
blafarde	3	15	12	4.0
blanc	16	28	12	0.75
blanche	9	45	36	4.0
blanches	7	10	3	0.42857142857142855
blancheur	1	6	5	5.0
blancseing	6	12	6	1.0
blangy	2	11	9	4.5
blasphm	1	17	16	16.0
blasphmant	1	10	9	9.0
blasphmes	1	7	6	6.0
bless	60	65	5	0.08333333333333333
blessa	2	22	20	10.0
blesse	5	14	9	1.8
blesser	4	16	12	3.0
blesss	4	17	13	3.25
blessure	27	31	4	0.14814814814814814
blessures	7	20	13	1.8571428571428572
bleu	9	17	8	0.8888888888888888
bleue	1	15	14	14.0
bleues	1	26	25	25.0
bleus	3	12	9	3.0
bleutre	1	14	13	13.0
bleutres	1	18	17	17.0
blial	1	8	7	7.0
blier	1	13	12	12.0
blme	1	11	10	10.0
blmer	1	14	13	13.0
blockquote	2	26	24	12.0
blocus	1	7	6	6.0
blond	1	16	15	15.0
blonde	8	20	12	1.5
blondes	1	8	7	7.0
blonds	2	6	4	2.0
bloquait	1	14	13	13.0
blotti	1	17	16	16.0
blottir	1	42	41	41.0
blottit	1	12	11	11.0
bloui	3	20	17	5.666666666666667
blouis	1	10	9	9.0
blouissant	2	16	14	7.0
blouissement	1	11	10	10.0
bndictines	1	17	16	16.0
bndiction	3	8	5	1.6666666666666667
bndictions	2	15	13	6.5
bnfice	1	7	6	6.0
bnin	1	15	14	14.0
bnirai	1	10	9	9.0
bnissants	1	7	6	6.0
bnissent	1	29	28	28.0
bnit	6	22	16	2.6666666666666665
bnite	3	16	13	4.333333333333333
bnitier	2	20	18	9.0
bnitil	1	9	8	8.0
bocaux	1	12	11	11.0
boeuf	1	15	14	14.0
bohme	1	12	11	11.0
bohmienne	1	8	7	7.0
boira	1	30	29	29.0
boirai	2	8	6	3.0
boiraije	1	19	18	18.0
boire	26	32	6	0.23076923076923078
boirez	1	10	9	9.0
boironsnous	1	8	7	7.0
bois	25	28	3	0.12
boiseries	1	11	10	10.0
boisnar	1	5	4	4.0
boisrenard	2	14	12	6.0
boisson	1	10	9	9.0
boistracy	6	15	9	1.5
boivent	1	14	13	13.0
boives	1	10	9	9.0
bombance	1	7	6	6.0
bon	121	132	11	0.09090909090909091
bonacieux	367	372	5	0.013623978201634877
bond	13	15	2	0.15384615384615385
bondir	1	7	6	6.0
bondis	1	22	21	21.0
bondissait	1	11	10	10.0
bondissant	2	14	12	6.0
bondit	5	10	5	1.0
bonds	3	22	19	6.333333333333333
bondy	2	10	8	4.0
bonheur	39	43	4	0.10256410256410256
bonhomie	3	5	2	0.6666666666666666
boniface	1	8	7	7.0
bonjour	1	10	9	9.0
bonne	90	92	2	0.022222222222222223
bonnement	4	21	17	4.25
bonnes	19	37	18	0.9473684210526315
bonnet	3	15	12	4.0
bonnets	1	19	18	18.0
bons	19	29	10	0.5263157894736842
bonsenfants	1	5	4	4.0
bont	8	28	20	2.5
bonts	4	16	12	3.0
bord	19	25	6	0.3157894736842105
bordeaux	2	7	5	2.5
bordent	1	18	17	17.0
bordes	1	9	8	8.0
bords	3	8	5	1.6666666666666667
borgne	1	12	11	11.0
bornai	1	9	8	8.0
borne	3	9	6	2.0
borner	2	10	8	4.0
bornes	2	10	8	4.0
botanique	1	10	9	9.0
botany	1	6	5	5.0
bote	8	26	18	2.25
both	1	17	16	16.0
bott	1	13	12	12.0
botte	2	9	7	3.5
bottes	13	31	18	1.3846153846153846
bouchant	1	18	17	17.0
bouche	33	42	9	0.2727272727272727
bouches	4	29	25	6.25
bouchonna	1	20	19	19.0
boucles	1	15	14	14.0
bouclier	2	6	4	2.0
boucls	1	15	14	14.0
bouderait	1	24	23	23.0
boudoir	1	13	12	12.0
boue	2	10	8	4.0
boueuse	1	14	13	13.0
boueuses	1	15	14	14.0
bouffis	1	10	9	9.0
bouge	3	7	4	1.3333333333333333
bougea	1	14	13	13.0
bougeait	1	26	25	25.0
